round_epochs,loss,accuracy,val_loss,val_accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,kernel_initializer,last_activation,losses,optimizer
25,0.2552732541183306,0.8891728,0.5086959626861671,0.7904022,relu,32,0.3,25,128,0,uniform,sigmoid,binary_crossentropy,Adam
50,0.42515803987061196,0.79077256,0.7137253070959183,0.72634673,elu,256,0,50,64,2,normal,relu,binary_crossentropy,Nadam
50,0.5856335578612316,0.7084865,0.6126618085820847,0.69578916,elu,64,0.3,50,64,2,uniform,relu,binary_crossentropy,Adam
25,0.4949602008608695,0.7451838,0.5472589159142028,0.7164759,elu,64,0.3,25,128,2,uniform,sigmoid,binary_crossentropy,Nadam
50,0.6290066225400941,0.67523134,0.6122676907348793,0.68339807,elu,64,0.5,50,64,1,uniform,relu,binary_crossentropy,Adam
50,0.3727937536796521,0.83846164,0.5701198690543214,0.76309985,relu,256,0.3,50,128,1,normal,relu,binary_crossentropy,Nadam
50,0.17446645418039938,0.9271887,0.7823814773501987,0.76372993,elu,32,0,50,64,1,uniform,sigmoid,binary_crossentropy,Adam
50,0.6018148943149125,0.6771566,0.584308223615208,0.6832931,elu,256,0.5,50,128,0,normal,relu,binary_crossentropy,Nadam
50,0.15170920918442946,0.9663481,2.176222552080734,0.77391577,relu,32,0,50,128,0,normal,relu,binary_crossentropy,Nadam
25,0.5356956431269542,0.72630423,0.632881527279751,0.70198464,elu,256,0,25,256,2,uniform,relu,binary_crossentropy,Nadam
