round_epochs,loss,accuracy,val_loss,val_accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,kernel_initializer,last_activation,losses,middle_neuron,optimizer
50,0.01481195449776746,0.9952953,1.8522122359896085,0.7850682,relu,64,0,50,256,2,normal,sigmoid,binary_crossentropy,128,Adam
100,0.17531744890978465,0.9506967,2.343907988346188,0.757008,relu,64,0,100,64,1,normal,relu,binary_crossentropy,256,Nadam
50,7.629652242788372,0.49966994,7.612875557522669,0.5007701,softmax,256,0.3,50,64,0,normal,softmax,binary_crossentropy,64,Adam
50,7.629652344919118,0.49966994,7.612875690362458,0.5007701,relu,32,0.1,50,64,2,normal,softmax,binary_crossentropy,256,Nadam
100,0.14735342873532953,0.9539732,2.21249212565106,0.75989246,relu,64,0,100,64,0,normal,relu,binary_crossentropy,128,Adam
50,0.07935264147610187,0.9849018,2.152462604923254,0.78335994,relu,64,0,50,256,0,uniform,relu,binary_crossentropy,64,Adam
25,0.02760287781581869,0.99062663,1.373938352806826,0.78495616,relu,64,0,25,256,1,normal,sigmoid,binary_crossentropy,128,Nadam
25,0.16188562734640052,0.9338582,0.548580747621122,0.8022627,relu,32,0.3,25,256,1,uniform,sigmoid,binary_crossentropy,256,Nadam
50,0.19340000301393837,0.9183279,0.5247416518284955,0.7966899,relu,256,0.3,50,128,2,normal,sigmoid,binary_crossentropy,256,Nadam
100,0.15401130794632548,0.952833,1.4598212999465494,0.79139715,relu,256,0.1,100,256,2,normal,relu,binary_crossentropy,256,Adam
100,7.629652255710664,0.49966994,7.612875557522669,0.5007701,softmax,256,0.1,100,64,1,normal,softmax,binary_crossentropy,64,Nadam
50,0.39950384609217465,0.80119056,0.5003639344586992,0.7588843,relu,64,0.5,50,64,0,uniform,sigmoid,binary_crossentropy,64,Nadam
25,7.707383235857411,0.50033003,7.724353187683566,0.49922988,softmax,64,0,25,128,2,uniform,relu,binary_crossentropy,64,Adam
100,0.29465978603856435,0.91173893,0.8573628699628617,0.7891568,relu,32,0.3,100,128,2,normal,relu,binary_crossentropy,64,Adam
100,0.19408936499875815,0.95518535,1.1907995422861444,0.8128203,relu,32,0.3,100,256,1,normal,relu,binary_crossentropy,64,Nadam
25,7.707382477642778,0.50033003,7.724352438076164,0.49922988,softmax,256,0,25,128,0,uniform,relu,binary_crossentropy,64,Adam
100,7.629652337971526,0.49966994,7.612875690362458,0.5007701,softmax,32,0.5,100,64,2,uniform,softmax,binary_crossentropy,64,Nadam
25,0.05880127388849075,0.97879285,1.1203431919033082,0.7736425,relu,256,0,25,128,1,normal,sigmoid,binary_crossentropy,256,Adam
100,0.5448736397825841,0.71386564,0.5717167975457955,0.6937467,softmax,256,0.3,100,64,1,uniform,sigmoid,binary_crossentropy,64,Nadam
25,0.6310664086429075,0.6392986,0.6233894043055681,0.6528046,softmax,256,0.3,25,256,2,uniform,relu,binary_crossentropy,128,Adam
